LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
50000,2,2,2,24,-1,-1,-1,-1,0,-1,1572,1572,1572,6561,5091,353,1572,1572,6561,102,353,27000,0
70000,2,2,2,24,0,0,0,0,0,0,61094,62483,63882,64733,66680,71243,3000,3000,2500,3000,5800,0,0
420000,1,1,1,43,-2,-2,-2,-2,-2,-2,8100,14270,7324,2846,3027,5946,14274,8232,2853,3027,5946,32053,0
30000,1,2,3,53,1,-2,-1,2,0,0,0,0,4070,3825,3825,0,0,4070,0,0,0,0,1
50000,2,2,1,49,1,2,2,2,0,0,19208,19608,22608,21951,22287,22778,1000,3321,0,1000,1000,1001,0
370000,1,2,1,38,2,0,0,0,0,0,376014,377594,355120,315740,322540,319195,16000,13217,12000,12000,12000,15000,1
50000,1,5,2,49,0,0,0,0,0,0,36869,31255,28040,20799,9584,9788,1615,2507,10814,344,359,401,0
500000,2,1,1,33,-1,-1,-1,-1,-1,-1,1110,1110,1416,1416,1416,1416,1110,1416,1416,1416,1416,5723,0
110000,2,2,1,46,-1,-1,-1,-1,-1,0,2410,2151,2161,1719,107591,107940,2151,2161,1719,107591,5000,3500,0
380000,1,1,2,30,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
290000,2,1,1,39,-2,-2,-2,-2,-2,-2,79298,-40,122380,0,32720,-200,0,122420,0,32720,200,0,0
200000,2,2,2,22,0,0,0,0,0,2,205736,199379,132963,145115,153040,155636,7758,5001,15000,10800,5600,0,1
50000,1,2,2,23,0,0,0,0,0,0,34549,18552,19334,18165,19322,19575,2836,1200,13000,1500,9000,1000,0
160000,2,2,2,39,0,0,0,0,0,0,32930,20090,49448,38415,59138,77579,14000,40015,1625,32044,27248,3650,0
50000,1,2,2,29,0,0,-2,-2,-2,-2,30900,0,0,0,0,0,0,0,0,1500,0,0,0
210000,2,3,1,41,-2,-2,-2,-2,-2,-2,16486,15725,18210,10784,41477,6879,15728,18213,10784,41477,6879,9498,0
360000,1,1,1,46,0,0,0,0,0,0,14591,14828,14250,13780,15077,14009,3005,3024,4004,4008,3008,2024,1
30000,2,2,1,27,2,2,2,3,3,4,26648,27536,28203,29048,29903,30431,1600,1400,1600,1600,1600,1000,0
